name,type1,type2,hp,attack,defense,speed,is_legendary
Bulbasaur,grass,poison,45,49,49,45,0
Ivysaur,grass,poison,60,62,63,60,0
Venusaur,grass,poison,80,100,123,80,0
Oddish,grass,poison,45,50,55,30,0
Gloom,grass,poison,60,65,70,40,0
Vileplume,grass,poison,75,80,85,50,0
Bellsprout,grass,poison,50,75,35,40,0
Weepinbell,grass,poison,65,90,50,55,0
Victreebel,grass,poison,80,105,65,70,0
Exeggcute,grass,psychic,60,40,80,40,0
Exeggutor,grass,psychic,95,105,85,45,0
Tangela,grass,,65,55,115,60,0
Chikorita,grass,,45,49,65,45,0
Bayleef,grass,,60,62,80,60,0
Meganium,grass,,80,82,100,80,0
Bellossom,grass,,75,80,95,50,0
Hoppip,grass,flying,35,35,40,50,0
Skiploom,grass,flying,55,45,50,80,0
Jumpluff,grass,flying,75,55,70,110,0
Sunkern,grass,,30,30,30,30,0
Sunflora,grass,,75,75,55,30,0
Treecko,grass,,40,45,35,70,0
Grovyle,grass,,50,65,45,95,0
Sceptile,grass,,70,110,75,145,0
Seedot,grass,,40,40,50,30,0
Nuzleaf,grass,dark,70,70,40,60,0
Shiftry,grass,dark,90,100,60,80,0
Shroomish,grass,,60,40,60,35,0
Breloom,grass,fighting,60,130,80,70,0
Roselia,grass,poison,50,60,45,65,0
Cacnea,grass,,50,85,40,35,0
Cacturne,grass,dark,70,115,60,55,0
Tropius,grass,flying,99,68,83,51,0
Turtwig,grass,,55,68,64,31,0
Grotle,grass,,75,89,85,36,0
Torterra,grass,ground,95,109,105,56,0
Budew,grass,poison,40,30,35,55,0
Roserade,grass,poison,60,70,65,90,0
Cherubi,grass,,45,35,45,35,0
Cherrim,grass,,70,60,70,85,0
Carnivine,grass,,74,100,72,46,0
Snover,grass,ice,60,62,50,40,0
Abomasnow,grass,ice,90,132,105,30,0
Tangrowth,grass,,100,100,125,50,0
Leafeon,grass,,65,110,130,95,0
Shaymin,grass,grass,100,103,75,127,1
Snivy,grass,,45,45,55,63,0
Servine,grass,,60,60,75,83,0
Serperior,grass,,75,75,95,113,0
Pansage,grass,,50,53,48,64,0
Simisage,grass,,75,98,63,101,0
Cottonee,grass,fairy,40,27,60,66,0
Whimsicott,grass,fairy,60,67,85,116,0
Petilil,grass,,45,35,50,30,0
Lilligant,grass,,70,60,75,90,0
Maractus,grass,,75,86,67,60,0
Foongus,grass,poison,69,55,45,15,0
Amoonguss,grass,poison,114,85,70,30,0
Ferroseed,grass,steel,44,50,91,10,0
Ferrothorn,grass,steel,74,94,131,20,0
Virizion,grass,fighting,91,90,72,108,1
Chespin,grass,,56,61,65,38,0
Quilladin,grass,,61,78,95,57,0
Chesnaught,grass,fighting,88,107,122,64,0
Skiddo,grass,,66,65,48,52,0
Gogoat,grass,,123,100,62,68,0
Rowlet,grass,flying,68,55,55,42,0
Dartrix,grass,flying,78,75,75,52,0
Decidueye,grass,ghost,78,107,75,70,0
Fomantis,grass,,40,55,35,35,0
Lurantis,grass,,70,105,90,45,0
Morelull,grass,fairy,40,35,55,15,0
Shiinotic,grass,fairy,60,45,80,30,0
Bounsweet,grass,,42,30,38,32,0
Steenee,grass,,52,40,48,62,0
Tsareena,grass,,72,120,98,72,0
Tapu Bulu,grass,fairy,70,130,115,75,1
Kartana,grass,steel,59,181,131,109,1
