name,type1,type2,hp,attack,defense,speed,is_legendary
Squirtle,water,,44,48,65,43,0
Wartortle,water,,59,63,80,58,0
Blastoise,water,,79,103,120,78,0
Psyduck,water,,50,52,48,55,0
Golduck,water,,80,82,78,85,0
Poliwag,water,,40,50,40,90,0
Poliwhirl,water,,65,65,65,90,0
Poliwrath,water,fighting,90,95,95,70,0
Tentacool,water,poison,40,40,35,70,0
Tentacruel,water,poison,80,70,65,100,0
Slowpoke,water,psychic,90,65,65,15,0
Slowbro,water,psychic,95,75,180,30,0
Seel,water,,65,45,55,45,0
Dewgong,water,ice,90,70,80,70,0
Shellder,water,,30,65,100,40,0
Cloyster,water,ice,50,95,180,70,0
Krabby,water,,30,105,90,50,0
Kingler,water,,55,130,115,75,0
Horsea,water,,30,40,70,60,0
Seadra,water,,55,65,95,85,0
Goldeen,water,,45,67,60,63,0
Seaking,water,,80,92,65,68,0
Staryu,water,,30,45,55,85,0
Starmie,water,psychic,60,75,85,115,0
Magikarp,water,,20,10,55,80,0
Gyarados,water,flying,95,155,109,81,0
Lapras,water,ice,130,85,80,60,0
Vaporeon,water,,130,65,60,65,0
Totodile,water,,50,65,64,43,0
Croconaw,water,,65,80,80,58,0
Feraligatr,water,,85,105,100,78,0
Chinchou,water,electric,75,38,38,67,0
Lanturn,water,electric,125,58,58,67,0
Marill,water,fairy,70,20,50,40,0
Azumarill,water,fairy,100,50,80,50,0
Politoed,water,,90,75,75,70,0
Wooper,water,ground,55,45,45,15,0
Quagsire,water,ground,95,85,85,35,0
Slowking,water,psychic,95,75,80,30,0
Qwilfish,water,poison,65,95,85,85,0
Corsola,water,rock,65,55,95,35,0
Remoraid,water,,35,65,35,65,0
Octillery,water,,75,105,75,45,0
Mantine,water,flying,85,40,70,70,0
Kingdra,water,dragon,75,95,95,85,0
Suicune,water,,100,75,115,85,1
Mudkip,water,,50,70,50,40,0
Marshtomp,water,ground,70,85,70,50,0
Swampert,water,ground,100,150,110,70,0
Lotad,water,grass,40,30,30,30,0
Lombre,water,grass,60,50,50,50,0
Ludicolo,water,grass,80,70,70,70,0
Wingull,water,flying,40,30,30,85,0
Pelipper,water,flying,60,50,100,65,0
Carvanha,water,dark,45,90,20,65,0
Sharpedo,water,dark,70,140,70,105,0
Wailmer,water,,130,70,35,60,0
Wailord,water,,170,90,45,60,0
Barboach,water,ground,50,48,43,60,0
Whiscash,water,ground,110,78,73,60,0
Corphish,water,,43,80,65,35,0
Crawdaunt,water,dark,63,120,85,55,0
Feebas,water,,20,15,20,80,0
Milotic,water,,95,60,79,81,0
Clamperl,water,,35,64,85,32,0
Huntail,water,,55,104,105,52,0
Gorebyss,water,,55,84,105,52,0
Relicanth,water,rock,100,90,130,55,0
Luvdisc,water,,43,30,55,97,0
Kyogre,water,,100,150,90,90,1
Piplup,water,,53,51,53,40,0
Prinplup,water,,64,66,68,50,0
Empoleon,water,steel,84,86,88,60,0
Buizel,water,,55,65,35,85,0
Floatzel,water,,85,105,55,115,0
Shellos,water,,76,48,48,34,0
Gastrodon,water,ground,111,83,68,39,0
Finneon,water,,49,49,56,66,0
Lumineon,water,,69,69,76,91,0
Mantyke,water,flying,45,20,50,50,0
Palkia,water,dragon,90,120,100,100,1
Phione,water,,80,80,80,80,0
Manaphy,water,,100,100,100,100,1
Oshawott,water,,55,55,45,45,0
Dewott,water,,75,75,60,60,0
Samurott,water,,95,100,85,70,0
Panpour,water,,50,53,48,64,0
Simipour,water,,75,98,63,101,0
Tympole,water,,50,50,40,64,0
Palpitoad,water,ground,75,65,55,69,0
Seismitoad,water,ground,105,95,75,74,0
Basculin,water,,70,92,65,98,0
Tirtouga,water,rock,54,78,103,22,0
Carracosta,water,rock,74,108,133,32,0
Ducklett,water,flying,62,44,50,55,0
Swanna,water,flying,75,87,63,98,0
Frillish,water,ghost,55,40,50,40,0
Jellicent,water,ghost,100,60,70,60,0
Alomomola,water,,165,75,80,65,0
Keldeo,water,fighting,91,72,90,108,1
Froakie,water,,41,56,40,71,0
Frogadier,water,,54,63,52,97,0
Greninja,water,dark,72,145,67,132,0
Clauncher,water,,50,53,62,44,0
Clawitzer,water,,71,73,88,59,0
Popplio,water,,50,54,54,40,0
Brionne,water,,60,69,69,50,0
Primarina,water,fairy,80,74,74,60,0
Wishiwashi,water,,45,140,130,30,0
Dewpider,water,bug,38,40,52,27,0
Araquanid,water,bug,68,70,92,42,0
Pyukumuku,water,,55,60,130,5,0
Bruxish,water,psychic,68,105,70,92,0
Tapu Fini,water,fairy,70,75,115,85,1
