company_id,employee_count,follower_count,time_recorded
81149246,6,91,1692644644.2779734
10033339,3,187,1692644644.2779734
6049228,20,82,1692644645.1013184
2641066,45,2336,1692644645.9232166
96649998,0,2,1692644645.924219
82684341,3,128,1692644646.3704655
82296828,0,64,1692644646.3704655
86746333,11,478,1692644646.8182244
718651,5,22,1692644647.1765628
4781041,14,17,1692644647.62722
7573454,94,9048,1692644648.0613468
1434753,61,653,1692644648.0613468
90844,249,1236,1692644648.44355
91459053,2,24,1692644648.8276289
145145,44,16833,1692644648.8276289
2899710,139,2841,1692644649.205593
20338460,38,1656,1692644649.205593
90633414,5,732,1692644649.578196
2902815,183,29262,1692644649.578196
371180,1893,31310,1692644649.9914944
10563070,14,349,1692644649.9914944
88684,147,8111,1692644650.34355
14615655,36,10237,1692644650.34355
69571610,3717,158109,1692644650.6863291
3657,28732,744716,1692644650.6863291
62424,899,10311,1692644651.0513952
18630069,19,1884,1692644651.0513952
1387626,1676,39770,1692644651.449499
35602,462,5824,1692644651.449499
18872958,335,156482,1692644652.0976858
89908682,18,301,1692644652.0976858
2502541,29,8058,1692644653.155199
9516195,113,8089,1692644653.155199
298409,395,146046,1692644653.5256968
298409,395,146046,1692644653.5256968
37768,2025,231325,1692644653.940611
91187899,2,582,1692644653.9416597
7032083,119,40756,1692644654.387137
33874,3725,15731,1692644654.3881612
8986045,0,116,1692644655.195742
81886402,1687,30991,1692644655.195742
34771768,7,413,1692644655.5833864
3579761,1873,17929,1692644655.5833864
6979,25985,387187,1692644655.9695814
6979,25985,387187,1692644655.9695814
6979,25985,387187,1692644656.352749
6979,25985,387187,1692644656.352749
79378951,19,95,1692644656.7188246
26489605,19,762,1692644656.7188246
9215353,499,6977,1692644657.0863972
81886402,1687,30991,1692644657.0863972
81886402,1687,30991,1692644657.4309351
76323347,932,14276,1692644657.4319358
76323347,932,14276,1692644657.8475058
76323347,932,14276,1692644657.8475058
81886402,1687,30991,1692644658.3075688
81886402,1687,30991,1692644658.3084865
76323347,932,14276,1692644658.6645088
81886402,1687,30991,1692644658.6645088
81886402,1687,30991,1692644659.0128863
3514329,422,20754,1692644659.0128863
2999886,17,16309,1692644659.3629177
8288,5521,87035,1692644659.3629177
2815,43186,284104,1692644659.9981124
81886402,1687,30991,1692644659.9981124
61677,2815,389704,1692644660.3392503
40934666,5,16505,1692644660.3392503
8288,5521,87035,1692644660.7971656
1485063,29,229,1692644661.1587803
19115854,113,267,1692644661.6190252
1124883,98,696,1692644661.6190252
4316275,12,20,1692644661.994752
27116461,59,11841,1692644661.994752
3579761,1873,17929,1692644662.3694382
64734122,31,291,1692644662.3694382
3579761,1873,17929,1692644662.8812387
272676,6,590,1692644663.2780228
3079381,8,178,1692644663.2780228
10665641,449,47697,1692644663.660056
2313067,7,10842,1692644663.660056
777243,356,241253,1692644664.067028
72332830,91,32494,1692644664.068053
165957,4756,90015,1692644664.4544868
166612,9708,147371,1692645428.0
22681,790,102620,1692645428.0
2326570,670,59672,1692645429.0
82591929,8,2159,1692684486.0
90403412,1,4,1692684486.0
11555975,18,751,1692684486.0
301266,34,825,1692684486.0
922460,222,2941,1692684487.0
11001662,5,409,1692684487.0
25963,1250,20418,1692684487.0
54945276,7,7,1692684487.0
72628508,10,1242,1692684488.0
61242,156,2498,1692684488.0
9599126,64,263,1692684488.0
260776,311,5405,1692684488.0
9599126,64,263,1692684488.0
1476408,572,36757,1692684489.0
153682,538,5185,1692684489.0
90636422,282,2104,1692684489.0
80998774,88,2554,1692684489.0
71558880,108,1879,1692684489.0
965922,18,448,1692684489.0
84013022,4,96,1692684490.0
1505704,418,5615,1692684490.0
11234188,59,4705,1692684490.0
14015698,12,275,1692684491.0
74886057,1,14,1692684491.0
477012,16,2274,1692684491.0
150217,551,8906,1692684491.0
8167270,38,631,1692684491.0
15440862,98,690,1692684492.0
11420962,6001,115401,1692684492.0
16063763,39,2729,1692684492.0
40775779,68,901,1692684492.0
1211072,131,2050,1692684493.0
4743385,40,699,1692684493.0
109690,188,6932,1692684493.0
82809834,2,3121,1692684494.0
5103135,36,1463,1692684494.0
25719,52,796,1692684494.0
64948032,70,2607,1692684494.0
99429,201,2385,1692684495.0
2281751,20,293,1692684495.0
1724775,140,35612,1692684495.0
8596,4836,94215,1692684496.0
22330287,989,40087,1692684496.0
80851163,11,341,1692684496.0
88171782,11,384,1692684496.0
2434292,5,3432,1692684497.0
165416,5752,81838,1692684497.0
104849,147,4301,1692684497.0
37270045,7,121,1692684497.0
71612518,3,76,1692684497.0
3671,16063,204662,1692684497.0
3671,16063,204662,1692684498.0
3671,16063,204662,1692684498.0
3671,16063,204662,1692684498.0
3671,16063,204662,1692684498.0
3671,16063,204662,1692684499.0
3671,16063,204662,1692684499.0
2413926,13,8106,1692684499.0
3663488,51,5665,1692684499.0
3671,16063,204662,1692684499.0
3671,16063,204662,1692684499.0
3671,16063,204662,1692684500.0
3671,16063,204662,1692684500.0
3671,16063,204662,1692684500.0
2474970,78,9443,1692684500.0
101699,733,9555,1692684501.0
3671,16063,204662,1692684501.0
3671,16063,204662,1692684501.0
3671,16063,204662,1692684501.0
3671,16063,204662,1692684501.0
3671,16063,204662,1692684501.0
3671,16063,204662,1692684502.0
3671,16063,204662,1692684502.0
3671,16063,204662,1692684502.0
4857886,2948,45509,1692684503.0
3671,16063,204662,1692684503.0
3671,16063,204662,1692684503.0
3671,16063,204662,1692684503.0
3671,16063,204662,1692684503.0
3671,16063,204662,1692684504.0
3671,16063,204662,1692684504.0
3671,16063,204662,1692684504.0
3671,16063,204662,1692684504.0
3671,16063,204662,1692684504.0
3671,16063,204662,1692684504.0
3671,16063,204662,1692684505.0
3671,16063,204662,1692684505.0
3671,16063,204662,1692684505.0
1584751,10,22616,1692684505.0
3671,16063,204662,1692684506.0
3671,16063,204662,1692684506.0
3671,16063,204662,1692684506.0
3671,16063,204662,1692684506.0
2908367,1735,164175,1692684506.0
3671,16063,204662,1692684506.0
3671,16063,204662,1692684507.0
3671,16063,204662,1692684507.0
2908367,1735,164175,1692684507.0
90723074,96,548,1692684507.0
206587,13,911,1692684507.0
205127,139,88337,1692684507.0
344890,1014,2407,1692684508.0
1441,285743,30762143,1692684508.0
9185,19759,114381,1692684508.0
9185,19759,114381,1692684508.0
9185,19759,114381,1692684509.0
9185,19759,114381,1692684509.0
1441,285743,30762143,1692684509.0
9185,19759,114381,1692684509.0
9185,19759,114381,1692684510.0
93283844,0,964,1692684510.0
9185,19759,114381,1692684510.0
9185,19759,114381,1692684510.0
9185,19759,114381,1692684511.0
1441,285743,30762143,1692684511.0
9185,19759,114381,1692684511.0
9185,19759,114381,1692684511.0
9185,19759,114381,1692684511.0
9185,19759,114381,1692684511.0
9185,19759,114381,1692684512.0
1318,290150,7770078,1692684512.0
26923,1054,4203,1692684512.0
26923,1054,4203,1692684512.0
26923,1054,4203,1692684512.0
28014,1585,95817,1692684512.0
9185,19759,114381,1692684513.0
9185,19759,114381,1692684513.0
9185,19759,114381,1692684513.0
9185,19759,114381,1692684513.0
9185,19759,114381,1692684514.0
9185,19759,114381,1692684514.0
26923,1054,4203,1692684514.0
26923,1054,4203,1692684514.0
9185,19759,114381,1692684515.0
9185,19759,114381,1692684515.0
26923,1054,4203,1692684515.0
26923,1054,4203,1692684515.0
26923,1054,4203,1692684515.0
26923,1054,4203,1692684515.0
26923,1054,4203,1692684516.0
9185,19759,114381,1692684516.0
26923,1054,4203,1692684516.0
26923,1054,4203,1692684516.0
26923,1054,4203,1692684517.0
26923,1054,4203,1692684517.0
26923,1054,4203,1692684517.0
26923,1054,4203,1692684517.0
1318,290150,7770078,1692684517.0
26923,1054,4203,1692684517.0
26923,1054,4203,1692684518.0
26923,1054,4203,1692684518.0
64877765,70,27772,1692684518.0
20767,234,23795,1692684518.0
10589520,152,7239,1692684519.0
11135982,24872,410103,1692684519.0
2625582,33,3705,1692684519.0
1117761,198,3232,1692684519.0
18883340,347,1360,1692684520.0
94141062,7,281,1692684520.0
16055920,13,9,1692684520.0
2138573,24,970,1692684520.0
2272345,30,1111,1692684520.0
67936,372,4446,1692684521.0
28609431,15,777,1692684521.0
90392784,4,30,1692684521.0
57142940,26,125,1692684522.0
2853559,10,632,1692684522.0
9282983,15,10284,1692684522.0
34208,2508,31229,1692684522.0
9238932,72,1277,1692684522.0
92430070,2,475,1692684523.0
34208,2508,31229,1692684523.0
98550552,0,29,1692684523.0
10069048,21,850,1692684523.0
10779570,57,1251,1692684524.0
11158118,68,213,1692684524.0
15391027,23,464,1692684525.0
444038,68,6359,1692684525.0
444038,68,6359,1692684525.0
33246798,50049,2663406,1692684525.0
33246798,50049,2663406,1692684525.0
33246798,50049,2663406,1692684525.0
35504315,3785,18526,1692684526.0
9185,19759,114381,1692684526.0
9185,19759,114381,1692684526.0
35504315,3785,18526,1692684526.0
33246798,50049,2663406,1692684527.0
9185,19759,114381,1692684527.0
9185,19759,114381,1692684527.0
35504315,3785,18526,1692684527.0
346080,2808,35495,1692684527.0
